"","month","station","ktx_alight","sm_alight","mg_alight","nr_alight","ktx_sc_alight","ktx_hn_alight","itx_sm_alight","itx_youth_alight","total"
"298",201709,"덕소",0,0,1761,0,0,0,0,0,1761
"299",201709,"양평",0,0,28699,0,0,0,1028,0,29727
"300",201709,"용문",0,0,8011,0,0,0,0,0,8011
"301",201709,"지평",0,0,1133,0,0,0,0,0,1133
"302",201709,"석불",0,0,73,0,0,0,0,0,73
"303",201709,"일신",0,0,602,0,0,0,0,0,602
"304",201709,"매곡",0,0,561,0,0,0,0,0,561
"305",201709,"양동",0,0,7042,0,0,0,0,0,7042
"306",201709,"삼산",0,0,164,0,0,0,0,0,164
"307",201709,"중동",0,0,864,0,0,0,0,0,864
"308",201709,"행신",28856,0,0,0,15756,5046,0,0,49658
"309",201709,"능곡",0,0,288,0,0,0,0,0,288
"310",201709,"일산",0,0,450,0,0,0,0,0,450
"311",201709,"문산",0,140,0,0,0,0,0,0,140
"312",201709,"운천",0,0,0,0,0,0,0,0,0
"313",201709,"임진강",0,323,0,0,0,0,0,0,323
"314",201709,"도라산",0,1588,0,0,0,0,0,0,1588
"315",201709,"의정부",0,906,0,0,0,0,0,0,906
"316",201709,"동두천",0,19,0,0,0,0,0,0,19
"317",201709,"소요산",0,11,0,0,0,0,0,0,11
"318",201709,"초성리",0,0,0,0,0,0,0,0,0
"319",201709,"한탄강",0,0,0,0,0,0,0,0,0
"320",201709,"전곡",0,0,0,0,0,0,0,0,0
"321",201709,"연천",0,23,0,0,0,0,0,0,23
"322",201709,"신망리",0,0,0,0,0,0,0,0,0
"323",201709,"대광리",0,0,0,0,0,0,0,0,0
"324",201709,"신탄리",0,225,0,0,0,0,0,0,225
"325",201709,"퇴계원",0,0,0,0,0,0,0,993,993
"326",201709,"평내호평",0,0,0,0,0,0,0,32639,32639
"327",201709,"마석",0,0,0,0,0,0,0,1861,1861
"328",201709,"가평",0,0,992,0,0,0,0,40898,41890
"329",201709,"광명",221402,0,0,0,78606,17570,0,0,317578
"330",201710,"안양",0,400,12257,3274,0,0,0,0,15931
"331",201710,"수원",51962,23280,321993,14365,0,9088,90295,0,510983
"332",201710,"오산",0,0,4556,2976,0,0,0,0,7532
"333",201710,"서정리",0,0,960,1022,0,0,0,0,1982
"334",201710,"평택",0,3814,157111,6850,0,0,20140,0,187915
"335",201710,"덕소",0,336,1758,0,0,0,0,0,2094
"336",201710,"양수",0,321,0,0,0,0,0,0,321
"337",201710,"양평",0,303,29594,0,0,0,1133,0,31030
"338",201710,"용문",0,0,8991,0,0,0,0,0,8991
"339",201710,"지평",0,0,1525,0,0,0,0,0,1525
"340",201710,"석불",0,0,59,0,0,0,0,0,59
"341",201710,"일신",0,0,550,0,0,0,0,0,550
"342",201710,"매곡",0,0,578,0,0,0,0,0,578
"343",201710,"양동",0,0,7003,0,0,0,0,0,7003
"344",201710,"삼산",0,0,125,0,0,0,0,0,125
"345",201710,"중동",0,0,720,0,0,0,0,0,720
"346",201710,"행신",35447,0,0,0,20231,5779,0,0,61457
"347",201710,"문산",0,128,0,0,0,0,0,0,128
"348",201710,"운천",0,0,0,0,0,0,0,0,0
"349",201710,"임진강",0,230,518,0,0,0,0,0,748
"350",201710,"도라산",0,1516,0,0,0,0,0,0,1516
"351",201710,"의정부",0,902,576,0,0,0,0,0,1478
"352",201710,"덕정",0,0,0,0,0,0,0,0,0
"353",201710,"동두천중앙",0,0,0,0,0,0,0,0,0
"354",201710,"동두천",0,33,447,0,0,0,0,0,480
"355",201710,"소요산",0,31,0,0,0,0,0,0,31
"356",201710,"초성리",0,0,0,0,0,0,0,0,0
"357",201710,"한탄강",0,0,0,0,0,0,0,0,0
"358",201710,"전곡",0,0,0,0,0,0,0,0,0
"359",201710,"연천",0,324,0,0,0,0,0,0,324
"360",201710,"신망리",0,0,0,0,0,0,0,0,0
"361",201710,"대광리",0,0,0,0,0,0,0,0,0
"362",201710,"신탄리",0,395,0,0,0,0,0,0,395
"363",201710,"퇴계원",0,0,0,0,0,0,0,739,739
