"","연월","station","합계_승차수.명.","합계_하차수.명.","KTX_승차수.명.","KTX_하차수.명.","새마을_승차수.명.","새마을_하차수.명.","무궁화_승차수.명.","무궁화_하차수.명..","통근열차_승차수.명.","통근열차_하차수.명.","누리로_승차수.명.","누리로_하차수.명.","KTX산천_승차수.명.","KTX산천_하차수.명.","ITX새마을_승차수.명.","ITX새마을_하차수.명.","ITX청춘열차_승차수.명.","ITX청춘열차_하차수.명.","KTX호남_승차수.명.","KTX호남_하차수.명."
"633",201806,"양동",5983,6413,0,0,0,0,5983,6413,0,0,0,0,0,0,0,0,0,0,0,0
"634",201806,"삼산",170,151,0,0,0,0,170,151,0,0,0,0,0,0,0,0,0,0,0,0
"635",201806,"행신",59201,55538,41681,33783,0,0,0,0,0,0,0,0,16769,17985,0,0,0,0,751,3770
"636",201806,"문산",152,160,0,0,152,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"637",201806,"운천",6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"638",201806,"임진강",157,185,0,0,157,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"639",201806,"도라산",2681,2688,0,0,2681,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"640",201806,"의정부",710,702,0,0,69,61,641,641,0,0,0,0,0,0,0,0,0,0,0,0
"641",201806,"덕정",188,188,0,0,0,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0
"642",201806,"동두천중앙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"643",201806,"동두천",17777,19660,0,0,22,24,0,0,17755,19636,0,0,0,0,0,0,0,0,0,0
"644",201806,"소요산",820,321,0,0,7,6,0,0,813,315,0,0,0,0,0,0,0,0,0,0
"645",201806,"초성리",20,5,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0
"646",201806,"한탄강",21,18,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,0,0,0
"647",201806,"전곡",2680,374,0,0,0,0,0,0,2680,374,0,0,0,0,0,0,0,0,0,0
"648",201806,"연천",3821,771,0,0,462,321,0,0,3359,450,0,0,0,0,0,0,0,0,0,0
"649",201806,"신망리",137,120,0,0,0,0,0,0,137,120,0,0,0,0,0,0,0,0,0,0
"650",201806,"대광리",190,191,0,0,0,0,0,0,190,191,0,0,0,0,0,0,0,0,0,0
"651",201806,"신탄리",3921,750,0,0,8,146,210,210,3703,394,0,0,0,0,0,0,0,0,0,0
"652",201806,"퇴계원",1919,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,970,0,0
"653",201806,"평내호평",37117,31965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37117,31965,0,0
"654",201806,"마석",2868,1952,0,0,309,303,0,0,0,0,0,0,0,0,0,0,2559,1649,0,0
"655",201806,"가평",41553,46927,0,0,618,0,395,784,0,0,0,0,0,0,0,0,40540,46143,0,0
"656",201806,"광명",383576,378408,268948,269688,0,0,0,0,0,0,0,0,81109,81840,0,0,0,0,12543,14887
"657",201807,"안양",17045,12525,0,0,0,0,14432,10090,0,0,2613,2435,0,0,0,0,0,0,0,0
"658",201807,"수원",444102,452461,46518,47632,22943,20784,282304,282003,0,0,18151,17642,0,0,74186,84400,0,0,0,0
"659",201807,"오산",7382,7782,0,0,0,0,4527,4974,0,0,2855,2808,0,0,0,0,0,0,0,0
"660",201807,"서정리",1897,2135,0,0,0,0,947,1071,0,0,950,1064,0,0,0,0,0,0,0,0
"661",201807,"평택",174762,178774,0,0,6492,3775,140275,146375,0,0,10273,9227,0,0,17722,19397,0,0,0,0
"662",201807,"덕소",1456,1470,0,0,0,0,1456,1470,0,0,0,0,0,0,0,0,0,0,0,0
"663",201807,"양평",35587,33395,0,0,0,0,25772,25271,0,0,0,0,0,0,321,720,0,0,9494,7404
"664",201807,"용문",9905,9502,0,0,0,0,9165,8978,0,0,0,0,0,0,740,524,0,0,0,0
"665",201807,"지평",1075,997,0,0,0,0,1075,997,0,0,0,0,0,0,0,0,0,0,0,0
"666",201807,"석불",45,48,0,0,0,0,45,48,0,0,0,0,0,0,0,0,0,0,0,0
"667",201807,"일신",418,388,0,0,0,0,418,388,0,0,0,0,0,0,0,0,0,0,0,0
"668",201807,"매곡",490,415,0,0,0,0,490,415,0,0,0,0,0,0,0,0,0,0,0,0
"669",201807,"양동",5709,6050,0,0,0,0,5709,6050,0,0,0,0,0,0,0,0,0,0,0,0
"670",201807,"삼산",140,161,0,0,0,0,140,161,0,0,0,0,0,0,0,0,0,0,0,0
"671",201807,"행신",62167,56603,43687,32788,0,0,0,0,0,0,0,0,16483,21091,0,0,0,0,1997,2724
"672",201807,"문산",173,135,0,0,173,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"673",201807,"운천",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"674",201807,"임진강",125,177,0,0,125,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"675",201807,"도라산",2130,2158,0,0,2130,2158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"676",201807,"의정부",249,237,0,0,50,38,199,199,0,0,0,0,0,0,0,0,0,0,0,0
"677",201807,"동두천",14248,13096,0,0,13,16,0,0,14235,13080,0,0,0,0,0,0,0,0,0,0
"678",201807,"소요산",573,82,0,0,5,0,0,0,568,82,0,0,0,0,0,0,0,0,0,0
"679",201807,"초성리",7,9,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0
"680",201807,"한탄강",9,4,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0
"681",201807,"전곡",1637,55,0,0,0,0,0,0,1637,55,0,0,0,0,0,0,0,0,0,0
"682",201807,"연천",12198,15472,0,0,484,542,0,0,11714,14930,0,0,0,0,0,0,0,0,0,0
"683",201807,"신망리",6,5,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0
"684",201807,"대광리",5,6,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0
"685",201807,"신탄리",84,13,0,0,0,4,0,0,84,9,0,0,0,0,0,0,0,0,0,0
"686",201807,"퇴계원",2146,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1134,0,0
"687",201807,"평내호평",36515,31630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36515,31630,0,0
"688",201807,"마석",2811,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2811,1864,0,0
"689",201807,"가평",47979,51308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47979,51308,0,0
