,area,cfmDate,route,contractCnt
351,인천,2020-06-01,인천확진자209접촉,-
352,인천,2020-06-01,인천209접촉성*교회,-
353,인천,2020-06-01,인천209접촉성*교회중국국적,-
354,인천,2020-06-01,인천209접촉성*교회,-
355,인천,2020-05-31,인천209접촉등*교회,-
356,인천,2020-05-31,인천209접촉등*교회,-
357,인천,2020-05-31,인천209접촉등*교회,-
358,인천,2020-05-31,경기시흥거주인천209접촉등*교회,-
359,인천,2020-05-31,인천209접촉등*교회,-
360,인천,2020-05-31,인천209접촉등*교회,-
361,인천,2020-05-31,인천209접촉등*교회,-
362,인천,2020-05-31,인천209접촉등*교회,-
363,인천,2020-05-31,인천209접촉등*교회,-
364,인천,2020-05-31,인천209접촉등*교회,-
365,인천,2020-05-31,인천209접촉등*교회,-
366,인천,2020-05-31,인천209접촉성*교회,-
367,인천,2020-05-31,경기부천거주?인천209접촉성*교회,-
368,인천,2020-05-31,인천209접촉성*교회,-
369,인천,2020-05-31,인천209접촉성*교회,-
370,인천,2020-05-31,주사*교회,-
371,인천,2020-05-31,인천확진자161접촉,-
372,인천,2020-05-30,인천확진자205접촉,-
373,인천,2020-05-30,인천195접촉자부동산중개업자,-
374,인천,2020-05-30,인천159184접촉계양구보건소확진부평구거주자,-
375,인천,2020-05-30,인천195197접촉부동산방문,-
376,인천,2020-05-29,인천확진자127접촉,-
377,인천,2020-05-29,인천확진자192접촉자,-
378,인천,2020-05-29,인천확진자197접촉,-
379,인천,2020-05-29,인천확진자188189접촉자,-
380,인천,2020-05-29,부천쿠팡,-
381,인천,2020-05-28,인천확진자127접촉,-
382,인천,2020-05-28,인천188접촉자#188운영부동산에서근무,-
383,인천,2020-05-28,인천188딸189동생,-
384,인천,2020-05-28,인천188배우자189父,-
385,인천,2020-05-28,인천179의父인천187의배우자,-
386,인천,2020-05-28,인천192배우자사우나방문이력없음,-
387,인천,2020-05-28,Fine***사우나방문,-
388,인천,2020-05-28,부천쿠팡,-
389,인천,2020-05-28,인천119父인천121배우자,-
390,인천,2020-05-28,인천확진자188의가족,-
391,인천,2020-05-28,-,-
392,인천,2020-05-28,인천확진자179접촉,-
393,인천,2020-05-28,부천쿠팡,-
394,인천,2020-05-28,부천쿠팡,-
395,인천,2020-05-27,인천확진자159접촉,-
396,인천,2020-05-27,인천확진자170접촉,-
397,인천,2020-05-27,부천쿠팡,-
398,인천,2020-05-27,부천쿠팡,-
399,인천,2020-05-27,부천쿠팡,-
400,인천,2020-05-27,부천쿠팡,-
401,인천,2020-05-27,부천쿠팡,-
402,인천,2020-05-27,인천확진자159의접촉자,-
403,인천,2020-05-27,인천확진자159의접촉자,-
404,인천,2020-05-27,쿠팡물류센터,-
405,인천,2020-05-27,쿠팡물류센터,-
406,인천,2020-05-27,쿠팡물류센터,-
407,인천,2020-05-27,쿠팡물류센터,-
408,인천,2020-05-27,인천확진자152번의접촉자,-
409,인천,2020-05-27,쿠팡물류센터,-
410,인천,2020-05-27,쿠팡물류센터,-
411,인천,2020-05-27,쿠팡물류센터,-
412,인천,2020-05-27,부천시확진자의접촉자,-
413,인천,2020-05-27,인천확진자155의접촉자가족,-
414,인천,2020-05-27,인천확진자155의접촉자가족,-
415,인천,2020-05-27,타지역확진자접촉,-
416,인천,2020-05-27,부천쿠팡강서구거주,-
417,인천,2020-05-27,부천쿠팡,-
418,인천,2020-05-27,부천쿠팡,-
419,인천,2020-05-27,부천쿠팡,-
420,인천,2020-05-27,부천쿠팡,-
421,인천,2020-05-27,인천확진자156접촉자,-
422,인천,2020-05-26,인천확진자109접촉자,-
423,인천,2020-05-27,부천쿠팡,-
424,인천,2020-05-26,부천쿠팡,-
425,인천,2020-05-26,인천확진자146접촉자,-
426,인천,2020-05-26,인천확진자149접촉자,-
427,인천,2020-05-26,부천쿠팡신선센터,-
428,인천,2020-05-26,의정부확진자의접촉자,-
429,인천,2020-05-26,해외필리핀,-
430,인천,2020-05-26,부천쿠팡신선센터,-
431,인천,2020-05-26,부천쿠팡신선센터,-
432,인천,2020-05-25,부천쿠팡신선센터,-
433,인천,2020-05-25,부천라온**아르바이트,-
434,인천,2020-05-24,인천확진자135접촉가족,-
435,인천,2020-05-24,부천라온**아르바이트,-
436,인천,2020-05-23,인천확진자142접촉가족,-
437,인천,2020-05-23,부천라온**방문,-
438,인천,2020-05-21,용산LG유플러스근무,-
439,인천,2020-05-20,인천확진자136의母,-
440,인천,2020-05-20,인천확진자135의동생,-
441,인천,2020-05-20,인천확진자135의母,-
442,인천,2020-05-20,#11086군포시확진자접촉,-
443,인천,2020-05-20,**프라자코인노래방이용,-
444,인천,2020-05-20,**프라자코인노래방이용,-
445,인천,2020-05-19,**프라자*PC방이용,-
446,인천,2020-05-19,인천확진자119122접촉코인노래방,-
447,인천,2020-05-19,인천확진자128의父,-
448,인천,2020-05-19,용산구확진자접촉자가격리중확진,-
449,인천,2020-05-19,인천확진자125접촉택시승객,-
450,인천,2020-05-19,인천확진자125접촉택시승객,-
451,인천,2020-05-19,인천확진자119122접촉코인노래방,-
452,인천,2020-05-19,인천확진자128의母,-
453,인천,2020-05-18,인천확진자125배우자,-
454,인천,2020-05-17,인천확진자102접촉택시기사,-
455,인천,2020-05-14,인천확진자113접촉,-
456,인천,2020-05-14,인천확진자105접촉,-
457,인천,2020-05-14,인천확진자119접촉친구,-
458,인천,2020-05-13,인천확진자119의母,-
459,인천,2020-05-13,해외입국시리아외국인,-
460,인천,2020-05-13,인천확진자102의접촉자동일학원학생,-
461,인천,2020-05-13,인천확진자113117의과외교사,-
462,인천,2020-05-13,인천확진자113114의가족,-
463,인천,2020-05-13,인천확진자102의접촉자학원강사,-
464,인천,2020-05-13,인천확진자102의접촉자동일학원학생,-
465,인천,2020-05-13,인천확진자113의母,-
466,인천,2020-05-13,인천확진자102의접촉자과외,-
467,인천,2020-05-13,인천확진자102의접촉자동일학원학생,-
468,인천,2020-05-13,인천확진자102의접촉자동일학원학생,-
469,인천,2020-05-13,인천확진자102의접촉자동일학원학생,-
470,인천,2020-05-13,인천확진자102의접촉자동일학원학생,-
471,인천,2020-05-12,인천확진자107의접촉자,-
472,인천,2020-05-12,부산광안리방문,-
473,인천,2020-05-12,홍대주점방문,-
474,인천,2020-05-10,이태원확진자의접촉자,-
475,인천,2020-05-10,해외입국탄자니아,-
476,인천,2020-05-09,이태원확진자102의접촉자지인,-
477,인천,2020-05-09,이태원,-
478,인천,2020-05-09,이태원,-
479,인천,2020-05-09,이태원,-
480,인천,2020-05-08,확진자의접촉자,-
481,인천,2020-05-08,확진자의가족,-
482,인천,2020-05-03,해외입국멕시코,-
483,인천,2020-05-02,해외입국프랑스,-
484,인천,2020-05-01,해외입국아일랜드,-
485,인천,2020-04-30,해외입국인도,-
486,인천,2020-04-27,확진자의가족,-
487,인천,2020-04-19,해외입국미국,-
488,인천,2020-04-18,해외입국미국,-
489,인천,2020-04-17,해외입국영국,-
490,인천,2020-04-16,해외입국아일랜드,-
491,인천,2020-04-13,해외입국멕시코,-
492,인천,2020-04-12,해외입국미국,-
493,인천,2020-04-10,해외입국미국,-
494,인천,2020-04-09,확진자의가족,-
495,인천,2020-04-09,해외입국미국,-
496,인천,2020-04-07,성남거주인천00병원진료해외입국인도네시아,-
497,인천,2020-04-07,해외입국팔라우,-
498,인천,2020-04-07,확진자의가족,-
499,인천,2020-04-05,확진자의배우자,-
500,인천,2020-04-04,해외입국인도네시아,-
501,인천,2020-04-03,**의료원,-
502,인천,2020-04-03,해외입국영국,-
503,인천,2020-04-03,해외입국베트남,-
504,인천,2020-04-02,해외입국미국,-
505,인천,2020-04-01,확진자의자녀,-
506,인천,2020-04-01,확진자의배우자,-
507,인천,2020-04-01,타시도성모병원,-
508,인천,2020-04-01,타시도성모병원,-
509,인천,2020-03-31,확진자의접촉자,-
510,인천,2020-03-31,해외입국미국,-
511,인천,2020-03-31,타시도성모병원,-
512,인천,2020-03-31,해외입국태국,-
513,인천,2020-03-30,해외입국미국,-
514,인천,2020-03-30,해외입국영국,-
515,인천,2020-03-30,해외입국멕시코,-
516,인천,2020-03-30,확진자의접촉자,-
517,인천,2020-03-30,해외입국미국,-
518,인천,2020-04-23,재확진자,-
519,인천,2020-03-29,해외입국아일랜드,-
520,인천,2020-03-28,해외입국독일,-
521,인천,2020-03-28,-,-
522,인천,2020-03-28,확진환자가족,-
523,인천,2020-03-28,해외입국미국,-
524,인천,2020-03-28,해외입국필리핀,-
525,인천,2020-03-28,해외입국미국,-
526,인천,2020-03-28,해외입국미국,-
527,인천,2020-03-27,해외입국스위스,-
528,인천,2020-03-27,해외입국미국,-
529,인천,2020-03-27,확진환자가족,-
530,인천,2020-03-27,해외입국영국,-
531,인천,2020-03-27,해외입국유럽,-
532,인천,2020-04-28,재확진자,-
533,인천,2020-03-26,해외입국미국유학생,-
534,인천,2020-03-26,유럽여행,-
535,인천,2020-03-25,승무원,-
536,인천,2020-03-25,해외입국미국유학생,-
537,인천,2020-03-23,해외입국독일유학생,-
538,인천,2020-03-23,승무원,-
539,인천,2020-03-20,000직원캐나다,-
540,인천,2020-03-19,서울00모터스,-
541,인천,2020-03-19,000직원감비아,-
542,인천,2020-03-19,000직원필리핀,-
543,인천,2020-03-19,콜센터확진자가족,-
544,인천,2020-03-19,서울00모터스,-
545,인천,2020-03-19,서울00모터스확진자가족,-
546,인천,2020-03-19,서울00모터스,-
547,인천,2020-03-17,-,-
548,인천,2020-03-16,직장구로구콜센터확진자접촉11층,-
549,인천,2020-03-15,해수부방문,-
550,인천,2020-03-14,직장구로구콜센터확진자접촉11층,-
551,인천,2020-03-13,서울시확진자접촉,-
552,인천,2020-03-11,직장구로구콜센터확진자접촉,-
553,인천,2020-04-22,재확진자,-
554,인천,2020-03-10,직장구로구콜센터확진자의접촉자동일식당이용객,-
555,인천,2020-03-10,충남직장동료확진자접촉,-
556,인천,2020-03-09,직장구로구콜센터확진자접촉,-
557,인천,2020-03-10,직장구로구콜센터확진자접촉,-
558,인천,2020-05-12,재재확진자최초확진일:20.05.09:20.04.23,-
559,인천,2020-05-04,재확진자,-
560,인천,2020-03-09,직장구로구콜센터확진자접촉,-
561,인천,2020-03-09,직장구로구콜센터확진자접촉,-
562,인천,2020-03-09,직장구로구콜센터확진자접촉,-
563,인천,2020-03-09,직장구로구콜센터확진자접촉,-
564,인천,2020-04-23,재확진자,-
565,인천,2020-03-09,직장구로구콜센터확진자접촉,-
566,인천,2020-03-09,직장구로구콜센터확진자접촉,-
567,인천,2020-03-09,직장구로구콜센터확진자접촉,-
568,인천,2020-04-21,재확진자,-
569,인천,2020-03-09,직장구로구콜센터확진자접촉,-
570,인천,2020-03-03,확진환자가족재입원,-
571,인천,2020-03-03,-,-
572,인천,2020-03-01,서울에서확진환자접촉,-
573,인천,2020-05-02,재확진자,-
574,인천,2020-02-28,서울에서확진환자접촉,-
575,인천,2020-02-28,서울중구의류회사근무,-
576,인천,2020-02-25,-,-
577,인천,2020-02-22,신천지대구교회방문,-
578,인천,2020-01-20,중국인우한시거주인천공항환승객,-
